facebook.com,173.252.110.27
ifeng.com,210.51.19.61
hotmail.com,157.55.152.112
amazon.com,176.32.98.166
youtube.com,74.125.225.165
360.cn,220.181.24.100
paipai.com,58.251.150.244
wordpress.com,76.74.254.126
yahoo.com,98.139.183.24
alipay.com,110.75.143.33
tudou.com,123.126.98.173
live.com,65.55.206.154
craigslist.org,208.82.238.129
yahoo.co.jp,182.22.59.229
softonic.com,46.28.209.20
sohu.com,123.125.116.19
msn.com,65.55.206.228
wikipedia.org,208.80.154.224
nifty.com,210.131.4.217
soku.com,61.135.196.23
baidu.com,123.125.114.144
bbc.co.uk,212.58.244.18
microsoft.com,65.55.58.201
blogspot.com,74.125.142.191
apple.com,17.172.224.47
hao123.com,123.125.115.150
alibaba.com,205.204.96.36
imageshack.us,208.94.2.7
windows.com,65.55.58.201
yandex.ru,213.180.193.11
qq.com,125.39.240.113
renren.com,220.181.181.222
livedoor.jp,125.6.149.67
ebay.com,66.135.205.14
taobao.com,110.75.20.163
bing.com,204.79.197.200
blogger.com,74.125.142.191
cnn.com,157.166.226.25
pps.tv,58.83.190.154
tianya.cn,124.225.135.222
xunlei.com,58.251.57.175
vkontakte.ru,87.240.156.164
answers.com,67.196.156.65
rapidshare.com,154.46.193.3
sina.com.cn,202.108.33.60
daum.net,61.111.62.173
soso.com,183.61.32.183
myspace.com,216.178.46.224
7k7k.com,115.182.59.33
mywebsearch.com,74.113.233.48
56.com,59.32.213.232
fc2.com,54.241.180.47
paypal.com,66.211.169.3
zynga.com,74.114.13.1
ask.com,66.235.120.127
163.com,123.58.180.7
2345.com,42.62.4.52
adobe.com,192.150.16.117
partypoker.com,194.150.36.34
mail.ru,217.69.139.201
photobucket.com,209.17.68.100
cnet.com,64.30.224.118
mozilla.com,63.245.217.194
youku.com,211.151.146.209
sdjjdsaf.com,
sogou.com,106.120.151.163
tmall.com,110.75.20.163
ku6.com,122.11.45.242
rakuten.co.jp,202.72.51.22
about.com,207.241.148.80
mediafire.com,205.196.120.12
ehow.com,98.124.247.46
orkut.com.br,74.125.142.87
hp.com,15.240.60.238
andysayler.com,198.199.109.206
wmfo.org,23.92.21.128
go.com,68.71.220.3
seesaa.net,59.106.98.139
4399.com,115.182.52.231
walmart.com,161.170.248.20
kugou.com,183.61.119.254
ebay.de,66.135.215.61
youdao.com,61.135.218.30
orkut.com,74.125.142.86
skype.com,91.190.216.21
hotfile.com,199.7.177.216
qiyi.com,202.108.14.56
ameblo.jp,180.233.142.129
naver.com,202.131.30.12
pconline.com.cn,219.136.245.40
flickr.com,69.147.76.173
odnoklassniki.ru,217.20.147.94
jp.msn.com,207.46.68.62
4shared.com,74.117.178.54
amazon.co.jp,54.240.248.0
linkedin.com,216.52.242.86
dailymotion.com,195.8.215.136
imdb.com,72.21.210.29
aol.com,205.188.100.58
twitter.com,199.59.149.198
weather.com,96.8.80.132
goo.ne.jp,218.213.142.230
